nombre,id,lat,lon
Perla del Pacífico Oporto,ChIJG7M_1jAnQg0RvNdt43olQ4U,40.390327,-3.7292852
Los Nuevos Alpes 3 (Cervecería Y Cafetería),ChIJ_f_diNMnQg0RsopDkPOMX3Q,40.3880966,-3.7310561
Bb & Tik Bebe Y Pica,ChIJrSiRS5InQg0RoJn1dK-UQ-o,40.38806719999999,-3.7310246
Valle de Oro,ChIJl4_B9JMnQg0R7cDgJGxuU0Q,40.3878122,-3.7285462
Pizzería Locco'Pizza Madrid,ChIJu9HiDDAnQg0RefSpVEAkOxs,40.387635,-3.730551
D' 'NETO,ChIJwYz3CpQnQg0R4KIbaSUqbVY,40.38774459999999,-3.7281595
Restaurante Ki Sushi Oporto,ChIJcVbb3TEnQg0RnIMTQxX_IlY,40.390927,-3.7294545
La Tabernita de Domínguez,ChIJ-d-SEPMnQg0RE2888dvgwY8,40.38757579999999,-3.7313904
El Sexto Sol,ChIJ4V1Fud4nQg0R9XTBEAOd6YE,40.3870414,-3.7298254
Taberna Doña Patata,ChIJe7L9O5InQg0R4DmCMZiybOY,40.3875229,-3.7315736
El Pollo Loko Oporto,ChIJJZYA3pMnQg0Rzunt_-2t7_M,40.3868976,-3.7295544
Bar Restaurante Jamayca,ChIJAQbP-0YnQg0RW5gFgJmstvw,40.3871129,-3.7309175
FAHAD DONER KEBAP,ChIJOeKqXd4nQg0RgpMMrWWTXnA,40.3880226,-3.7321853
Rodilla,ChIJJ2d_mrsnQg0RuN8PrxwHQPU,40.38473200000001,-3.718093000000001
Cafetería Alazán,ChIJFdFexsYnQg0RrrYCEKqOzjk,40.3956422,-3.7175213
Cafetería LUMAR,ChIJR7G5k7AnQg0RqjBhLNWOx0k,40.3855973,-3.7118929
El Toledano,ChIJt6NG88YnQg0Roqz4mDuh3co,40.3957825,-3.715639200000001
El Sabroso,ChIJm1DqSMEnQg0Rww38g3ojEaE,40.39605669999999,-3.7186698
Bodega Amistad,ChIJZZjGSronQg0Rx7mq8cBCzWU,40.3854866,-3.7152989
Restaurante La Alegría,ChIJwXW0BLwnQg0R526jiyiuM34,40.3865102,-3.718852099999999
Restaurante O Freixo,ChIJj7yBLbonQg0Rg4Gcxppkb7c,40.3865425,-3.7154085
Telepizza Manuel Noya - Comida a domicilio,ChIJa9REpbAnQg0RAC74pDCm41E,40.3863845,-3.7124529
La Perla del Pacífico,ChIJVVVVVWUvc7QR4RtX3p7jElA,40.3829811,-3.7111184
Que Comemos Hoy,ChIJJfN3AMcnQg0RWB2NsFbnhXI,40.3946437,-3.7158675
La Taberna de Domínguez,ChIJv7w_ELknQg0RVKxZYd1j9kE,40.3888865,-3.716059100000001
Un Trocito de Mi País,ChIJd-r46r4nQg0RbdS0Bxt7kYQ,40.38832419999999,-3.719535299999999
Bar Comida China Feliz,ChIJIb4gpr8nQg0RYG0u-uTpoGs,40.3901285,-3.720733500000001
Restaurante,ChIJdWDoKLknQg0R8Dpc7XPP01I,40.3892738,-3.7176076
Xatruch's,ChIJMzshX0MnQg0RJudZv1PVIKs,40.3900217,-3.7212719
RESTAURANTE EL RINCÓN DE MARTOS,ChIJ8xwMsL8nQg0RiC1FAs1KPOw,40.39012179999999,-3.7214944
La K-leta 2,ChIJdX89nt0nQg0RAZNswZiUwcQ,40.38679430000001,-3.7190395
La Taberna de Matilde,ChIJcfChBbknQg0RIkpXkXt9WaU,40.38900599999999,-3.7160449
Bar restaurante Casa Aparicio,ChIJgXnVCLwnQg0RXqDZz6vYSJs,40.3863526,-3.7184535
Josepan La Vía,ChIJ6ba-uEsnQg0RbIgz8cr8sdU,40.38639810000001,-3.7209732
Estambul Kebab,ChIJi37PlS4nQg0RpjwGdH9thJs,40.3865752,-3.721651
Cafe-Bar Restaurante la Vía,ChIJvfD2CL4nQg0Rvsm8vNJZN8w,40.3870411,-3.7224532
Restaurant Zony,ChIJsf4FncAnQg0RfTRasRJ2LLk,40.39210349999999,-3.7198988
GEORGIE’S BAR & GRILL,ChIJWYjfGAAnQg0RypnaPpkROt4,40.3904136,-3.715666599999999
Grande Bar Restaurante,ChIJ94PT_L0nQg0RlytBw6G9Ex4,40.3866623,-3.7225907
