nombre,postal,calle,numero,cocina,lat,lon,wheelchair
Bodegón La Raposa,,,,,28.3790415,-16.5164369,
Pico Viejo,,,,,28.4049194,-16.520136,
Canario,,,,,28.4049056,-16.5203198,
Casa Paca,,,,,28.5726697,-16.1873403,
El Mirador,,,,,28.57468,-16.188452,yes
Merendero Casa Carlos,,,,,28.5388803,-16.2670391,
La Playita,,,,,28.4910309,-16.2283357,
Casa Santiago,,,,,28.5331774,-16.2525309,
Cafetería Metrópolis,,,,,37.3630589,-5.9858491,
Casa Kini,,Plaza de Juan Carlos I,12,regional,37.9382301,-5.7585197,yes
Zebra Maria,,,,pizza,28.4136897,-16.5387058,
El Barracón,,Calle de Nuestra Señora de Valverde,191,,40.504532,-3.6855922,
Vips,,,,international,40.4968493,-3.6665137,
Ginos,,,,italian,40.4969066,-3.6663936,
100 Montaditos,,,,sandwich,37.3828961,-5.9723331,yes
Jaque Mate Tapas,41018,Eduardo Dato,,,37.382913,-5.9724153,yes
Cafetería Globcafé,,,,,40.4828907,-3.667816,
La Fragua Del Pinar,,Calle de Caleruega,,regional,40.4825647,-3.6705259,
Ni Hao,28033,Calle de Arturo Soria,335,chinese,40.4817015,-3.6659151,
San Pedro,,,,,43.2143002,-2.4392435,
La Tagliatella,28050,Avenida de Manoteras,40,,40.4862506,-3.6655135,
La Cofradia de Pescadores,,,,,27.8160926,-15.7665486,
Bamboo,29780,Plaza de los Cangrejos,,,36.7420704,-3.8804621,
Mirasol,,,,mediterranean,36.7425909,-3.8803417,
Jamaica,,,,,36.7431962,-3.8827996,
Mirador de Cerro Gordo,,,,,36.7340654,-3.7676345,
Restaurante El Paraíso,,,,international,36.7471821,-4.0553217,
Chalcha,,Isasi kalea,7,regional,43.1837977,-2.4741003,yes
Artola,20600,Untzaga plaza,7,basque,43.1835442,-2.4734434,no
Eskarne,,,,,43.1859048,-2.4653481,
Bodegas Tamanca,,Ctra. Gral Las Manchas,,,28.5966609,-17.8796967,yes
La Castafiore,,,,,40.4230858,-3.6935468,limited
Todo Rico,,,,peruvian,40.4458464,-3.4631402,
Finca Lucero Celebraciones,,,,,40.4708871,-3.583035,
Finca Lucero,,,,italian,40.4705945,-3.582929,
El Porche,,,,,40.4708744,-3.5826133,
El Carmen,,,,,28.6473707,-17.8984932,
Gabi,,,,,43.2153698,-2.4156321,
Gorbea,,,,,43.2136269,-2.4177808,
Ibai-Ondo,,,,,43.2141213,-2.4176328,
Sigma,,,,,43.2117094,-2.4185284,
Lerun,,,,,43.2231392,-2.4063949,
Txarriduna,,Ermuaran-bide,1,,43.2161592,-2.4109766,
Kebab,,,,,38.4021602,-0.521291,
Can Punyetes,,,,,40.4159664,-3.710711,
Órale Compadre,,Carretera de Fuencarral,1,mexican,40.5322395,-3.6443392,
Venta San José,,,,,39.8657794,-2.5776678,
La Bodega,,,,,38.7406672,-0.4360248,
La Cumbre,,,,,40.4375239,-3.7931761,
Cochran's Terraza,,,,,36.7442752,-3.8765846,
La Biznaga,,,,,36.7447885,-3.8765252,
La Farola,29793,Avenida de España,8,,36.7331772,-3.979344,
Virtudes,,,,,36.7907452,-3.8947811,
El Higuerón,,,,spanish,36.5870739,-4.5996586,
Urberu erretegia,,,,basque_ciderhouse;barbecue,43.2815131,-2.2977956,
Bar San Lorenzo,,,,,37.3968705,-5.9967756,
Cafe Bar El Sardinero,,,,tapas,37.3969679,-5.9963185,
Almeda 5,,,,,37.3967979,-5.9945413,
Casa Frutos,39685,Plaza del Doctor Madrazo,15,,43.1583253,-3.782097,
La Estantería,39685,Plaza del Doctor Madrazo,31,,43.158472,-3.7829111,
México,,,,,43.156216,-3.783449,
El Cruce,,,,,43.1558107,-3.7834164,
El Palmar,,,,,28.0310282,-16.6858725,
El Dornajo,,,,,28.134907,-16.6900553,
The Phoenix,,,,,28.0292777,-16.5882326,
La Marea,,,,,28.0285389,-16.5900573,
Tito,,,,,28.0299431,-16.5937192,
El Tablero II,,,,,28.0296696,-16.5925859,
La Tasquita del Puerto,,,,,28.0289566,-16.5931752,
La Paella,,,,,28.0288867,-16.5929218,
Los Roques,,,,,28.0285128,-16.5923973,
la scarpetta,,,,italian,28.0287384,-16.5925098,
El Ancla de Pepe,,,,,28.0288252,-16.5928593,
El Picotero,,,,,28.0285802,-16.5924186,
Rinconcito,,,,,28.02862,-16.5924194,
Amigos Sports Bar,,,,,28.0309332,-16.594333,
Tasca Tara,,,,,28.0485609,-16.6226214,
El Cisne,,,,,38.1898879,-0.5526113,
Curry House,,,,curry,36.7428714,-3.8841708,
El Picoteo,,,,,28.0788458,-16.5566508,
El Jable,,,,,28.0782656,-16.5568857,
El Nuevo Descanso,,,,,28.0759031,-16.5576224,
Bar Croissanteria Gomar,,,,,28.0787027,-16.5600656,
Cocina Mamá,,,,,28.0453553,-16.539358,
La Recoba,,,,,28.1211789,-16.5775749,
Delicias del ur,,,,,28.1200136,-16.5767082,
Bar Roque,,,,,28.1229896,-16.5773656,
El Terrero,,,,,28.12584,-16.5768501,
Bar del Barrio,,,,,28.1226104,-16.5730953,
La Vendimia,38613,Camino de San Roque,,,28.1603722,-16.6427395,
Rincon de Chasna,,,,,28.15031,-16.6328675,
Teide Flor,,,,,28.1530957,-16.639679,
Casa Pana,,,,,28.1586305,-16.6358157,
Rincón de Roberto,38613,Avenida Hermano Pedro,27,,28.157142,-16.6374945,
Pensión Germán,38613,Calle Santo Domingo,1,,28.1561744,-16.6373422,
Fuente Hermano Pedro,,,,regional,28.1589418,-16.6365514,
Casa Chico (El Sombrerito),,Calle Santa Catalina,15,,28.1548705,-16.6379478,
El Gomero II,,,,,28.0573899,-16.7227668,
Casa Toño,,,,,28.0573021,-16.7230349,
L'Amaretto,,,,,28.0561376,-16.7252437,
Mito,,,,,28.0660112,-16.7296622,
Las Rosas,,,,,28.061317,-16.7317824,
Patch,,,,pizza,28.0602775,-16.7328049,
Los Angeles,,,,,28.0602159,-16.7328508,
Troqué,,,,spanish,28.0994302,-16.7543014,
La Caleta,,,,spanish,28.1009136,-16.7564576,
La Vieja,38679,Edificio Terrazas de la Caleta,,regional;seafood,28.1006251,-16.7551607,yes
Masia del Mar,38679,Calle el Muelle,3,,28.1010794,-16.7558048,limited
Rincón El Varadero,,,,,28.1020418,-16.7571663,
Restaurante Aguas Blancas,,,,,37.2033695,-3.4487309,
Bar Restaurante El Paleto,28009,Calle del Alcalde Sáinz de Baranda,50,spanish,40.4164723,-3.6717472,
La Cuarta Esquina,,,,,42.3016331,-1.9590506,
Beckham's,,,,,28.1288191,-16.7827885,
La Romantica,,,,,28.1281632,-16.7829223,
Casa Amedeo,,,,,28.1801771,-16.817332,
La Marina,,,,,28.1819659,-16.8141018,
Chino Sur,,,,chinese,28.1801877,-16.8175588,
La Cremeria,,,,,28.1810007,-16.8186968,
Taberna marinera,,,,,28.1808384,-16.8185859,
Puesta de Sol,,,,,28.1817634,-16.8187059,yes
Restaurante Casa Sira,,,,,28.2305799,-16.7917469,
Bar Central,,,,,28.2094197,-16.778401,
Areperas Sabor Urbano,,,,,28.209888,-16.7808863,
Mathew's,,,,,28.0625383,-16.726631,
The Whiskey Jar,,,,,28.0624072,-16.7266211,
Lucana,,,,,28.0620681,-16.7267382,
Michelangelo,,,,pizza,28.0618526,-16.7280087,
Aberdeen Steak House,,,,steak,28.0618815,-16.7281415,
Pekin Garden,,,,chinese,28.0618906,-16.728182,
Balkonen,,,,,28.0619066,-16.7282337,
Tango,,,,,28.0620645,-16.7288751,
Carriages,,,,,28.0622225,-16.7295221,
The English Rose,,,,,28.0622381,-16.72959,
Mesón Atlantico,,,,,28.0622498,-16.7296579,
